"bbref_id","season","age","experience","team","league","position","games_played","minutes_played","on_court_plus_minus","off_court_plus_minus","prop_pg","prop_sg","prop_sf","prop_pf","prop_c","minutes_pg","minutes_sg","minutes_sf","minutes_pf","minutes_c","position_minutes","position_numeric","team_flag","advanced_position_cluster"
"greendo01",2009,20,1,"SAC","NBA","SF",55,725,-12.7,-4.1,0,0,0.65,0.32,0.03,0,0,471.25,232,21.75,"SF",3.38,TRUE,"Wing"
"greendo01",2010,21,2,"SAC","NBA","SF",76,1630,-4.4,0.4,0,0,0.6,0.39,0.02,0,0,978,635.7,32.6,"SF",3.46,TRUE,"Wing"
"greendo01",2011,22,3,"SAC","NBA","SF",69,1127,-3.8,2.8,0,0.01,0.91,0.08,0,0,11.27,1025.57,90.16,0,"SF",3.07,TRUE,"Wing"
"greendo01",2012,23,4,"SAC","NBA","PF",53,777,-6.6,-0.8,0,0,0.09,0.83,0.09,0,0,69.93,644.91,69.93,"PF",4.04,TRUE,"Wing"
"jeffedo01",2009,25,1,"CHA","NBA","SG",6,84,-7.2,-5.9,0.08,0.91,0.01,0,0,6.72,76.44,0.84,0,0,"SG",1.93,TRUE,"Wing"
"gordoer01",2009,20,1,"LAC","NBA","SG",78,2677,-9.8,0.6,0.14,0.73,0.12,0,0,374.78,1954.21,321.24,0,0,"SG",1.96,TRUE,"Wing"
"gordoer01",2010,21,2,"LAC","NBA","SG",62,2229,-5.4,3.7,0.03,0.95,0.02,0,0,66.87,2117.55,44.58,0,0,"SG",1.99,TRUE,"Wing"
"gordoer01",2011,22,3,"LAC","NBA","SG",56,2112,-0.3,7.1,0.04,0.84,0.12,0,0,84.48,1774.08,253.44,0,0,"SG",2.08,TRUE,"Wing"
"gordoer01",2012,23,4,"NOH","NBA","PG",9,310,4.3,9.6,0.85,0.15,0,0,0,263.5,46.5,0,0,0,"PG",1.15,TRUE,"Guard"
"gordoer01",2013,24,5,"NOH","NBA","SG",42,1264,-2.2,3.6,0.02,0.92,0.06,0,0,25.28,1162.88,75.84,0,0,"SG",2.04,TRUE,"Wing"
"gordoer01",2014,25,6,"NOP","NBA","SG",64,2057,-6.5,-8.2,0.01,0.96,0.03,0,0,20.57,1974.72,61.71,0,0,"SG",2.02,TRUE,"Wing"
"gordoer01",2015,26,7,"NOP","NBA","SG",61,2018,2.1,1.4,0.54,0.44,0.02,0,0,1089.72,887.92,40.36,0,0,"PG",1.48,TRUE,"Guard"
"gordoer01",2016,27,8,"NOP","NBA","SG",45,1481,-2.8,1.8,0.21,0.64,0.15,0,0,311.01,947.84,222.15,0,0,"SG",1.94,TRUE,"Wing"
"gordoer01",2017,28,9,"HOU","NBA","SG",75,2323,6.6,1,0,0.68,0.31,0.01,0,0,1579.64,720.13,23.23,0,"SG",2.33,TRUE,"Wing"
"gordoer01",2018,29,10,"HOU","NBA","SG",69,2154,13,9.8,0.58,0.42,0,0,0,1249.32,904.68,0,0,0,"PG",1.42,TRUE,"Guard"
"gordoer01",2019,30,11,"HOU","NBA","SG",68,2158,7.8,6.1,0.01,0.52,0.47,0,0,21.58,1122.16,1014.26,0,0,"SG",2.46,TRUE,"Wing"
"hillge01",2009,22,1,"SAS","NBA","PG",77,1270,2.4,-2.3,0.77,0.23,0,0,0,977.9,292.1,0,0,0,"PG",1.23,TRUE,"Guard"
"hillge01",2010,23,2,"SAS","NBA","PG",78,2276,5.2,-1.2,0.77,0.23,0,0,0,1752.52,523.48,0,0,0,"PG",1.23,TRUE,"Guard"
"hillge01",2011,24,3,"SAS","NBA","PG",76,2148,7.8,2.8,0.5,0.5,0,0,0,1074,1074,0,0,0,"PG",1.5,TRUE,"Guard"
